,date,user_loc,message,full_name,country,country_code,geo_code
0,2020-01-08 13:49:18,"Glasgow, Scotland",Can anyone in Scotland be arsed with this for another 5 years? Tories continue to shout down Scotland’s elected rep… https://t.co/xw8FDFOtwG,"Glasgow, Scotland",United Kingdom,GB,[-4.241751 55.858303]
1,2020-01-08 13:59:26,"London, England","https://t.co/B6inPM8K8C

The Scottish Laa-Laas have IndyRef2 on their minds like they have been brainwashed by a religious cult.","Hillingdon, London",United Kingdom,GB,[-0.442361 51.537061]
2,2020-01-08 14:59:35,"Cardiff, Wales",@alcampian Scotlands best chance of independence is not any #indyref2 it's to ask the other 3 nations if they want… https://t.co/TZv4hynstr,"Cardiff, Wales",United Kingdom,GB,[-3.1798   51.497002]
3,2020-01-08 15:23:24,Scotland,I’m not surprised (in the slightest) that @BorisJohnson has refused @NicolaSturgeon’s request to hold #Indyref2. Bu… https://t.co/T5yl0Ev9PD,"Glasgow, Scotland",United Kingdom,GB,[-4.241751 55.858303]
4,2020-01-08 15:44:58,Scotland+,"@anninnis @BBCPolitics Vote NO to stay in the EU they said in 2014. Things change, time for IndyRef2","Glasgow, Scotland",United Kingdom,GB,[-4.241751 55.858303]
5,2020-01-08 16:18:15,"Glasgow, Scotland",@CoyJudge Because that vote was done and lost so I moved on now we have Brexit which I was on the winning side of a… https://t.co/Uzgm92MVan,"Glasgow, Scotland",United Kingdom,GB,[-4.241751 55.858303]
6,2020-01-08 17:13:18,,"@pocket_rocket96 I’m Labour, on this I agree totally with Boris. SNP sort out all the shit they have created in Scotland. Indyref2 is dead.","Heswall, England",United Kingdom,GB,[-3.101829 53.335544]
7,2020-01-08 17:22:41,"Dumfries, Scotland",But what confuses me is he said vote for him and elect a UK Tory Government to stop IndyRef2 and people did. Now he… https://t.co/gwgWwLvsWS,"Edinburgh, Scotland",United Kingdom,GB,[-3.203008 55.943196]
8,2020-01-08 18:00:20,Scotland,"@STVNews He hasn't rejected it, he has just given an opinion. Rejecting it would be officially responding to the Se… https://t.co/DGWUDxNt5e","Scotland, United Kingdom",United Kingdom,GB,[-4.200441 57.739454]
9,2020-01-08 18:01:01,"Lewisham, London",@JennThorburn_ @elsieortong @maliharez @SamMoore249 The Labour Party is a British party specifically; it can't advo… https://t.co/QfHXyLURhY,"Budapest, Hungary",Hungary,HU,[19.129828 47.48123 ]
10,2020-01-08 18:08:16,"Lewisham, London",@JennThorburn_ @elsieortong @maliharez @SamMoore249 Any party that gets 45% of the vote in a Election will win it h… https://t.co/UFL5d8sky7,"Budapest, Hungary",Hungary,HU,[19.129828 47.48123 ]
11,2020-01-08 18:12:07,Central Scotland,Ian Blackford puts SNP on indyref2 footing with new-look frontbench team https://t.co/ASaKadYTmm,"Causewayhead, Scotland",United Kingdom,GB,[-3.932982 56.13561 ]
12,2020-01-08 18:38:31,,HumzaYousaf what do we think will come first? Permission for Indyref2 or the independent public enquiry into the Paedophile ring at Celtic ?,"Glasgow, Scotland",United Kingdom,GB,[-4.241751 55.858303]
13,2020-01-08 19:06:13,"Cardiff, Wales",@alcampian I was having a dig at those who wish an #indyref2,"Cardiff, Wales",United Kingdom,GB,[-3.1798   51.497002]
14,2020-01-08 19:19:10,Edinburgh North & Leith,@BizforScotland bring their fantastic materials to @YesENL #BelieveInScotland #IndyRef2 #Leith https://t.co/l0Rgv2iTw3,"Edinburgh, Scotland",United Kingdom,GB,[-3.203008 55.943196]
15,2020-01-08 20:14:23,World,@ScotTories @John2Win If you has any clue about what is happening in Scotland you Would understand that the best pe… https://t.co/rxqHv1gtya,"Ålesund, Norway",Norway,NO,[ 6.311952 62.464714]
16,2020-01-08 20:21:50,World,@Innealadair EU knows those figures will be changed within few years if they are even valid! EU knows scotland is a… https://t.co/ix0HMX0nvP,"Ålesund, Norway",Norway,NO,[ 6.311952 62.464714]
17,2020-01-08 20:42:04,"Barrhead, Scotland",Our country hasn’t lost its mind. We are just along for the ride. 🙈 #indyref2 🏴󠁧󠁢󠁳󠁣󠁴󠁿 https://t.co/omURAPqE3D,"Barrhead, Scotland",United Kingdom,GB,[-4.394863 55.800651]
18,2020-01-08 20:51:32,World,@Sillyshib Yes she was last seen on the Mustique Island counting the next GE postal votes #indyref2,"Ålesund, Norway",Norway,NO,[ 6.311952 62.464714]
