date,user_loc,message,full_name,country,country_code,geo_code,tidy_tweet,tokens,no_keywords,predictions,word count,neg_scores,neu_scores,pos_scores,compound_scores,latitude,longitude,address,city,City_Nation_Country,nation
2020-01-08 13:49:18,"Glasgow, Scotland",Can anyone in Scotland be arsed with this for another 5 years? Tories continue to shout down Scotland’s elected rep… https://t.co/xw8FDFOtwG,"Glasgow, Scotland",United Kingdom,GB,"[-4.241751, 55.858303]",anyon scotland ars anoth year tori continu shout scotland elect rep,"['anyone', 'scotland', 'arsed', 'another', 'years', 'tories', 'continue', 'shout', 'scotland', 'elected', 'rep']","['anyone', 'arsed', 'another', 'years', 'tories', 'continue', 'shout', 'elected', 'rep']",1,21,0.0,1.0,0.0,0.0,55.858303,-4.241751,"Blackfriars Street, Glasgow G1 1PU, UK",Glasgow,"['Glasgow', 'Scotland', 'United Kingdom']",Scotland
2020-01-08 13:59:26,"London, England","https://t.co/B6inPM8K8C

The Scottish Laa-Laas have IndyRef2 on their minds like they have been brainwashed by a religious cult.","Hillingdon, London",United Kingdom,GB,"[-0.442361, 51.537061]",scottish laa laa indyref mind like brainwash religi cult,"['scottish', 'laa', 'laas', 'indyref', 'minds', 'like', 'brainwashed', 'religious', 'cult']","['laa', 'laas', 'minds', 'like', 'brainwashed', 'religious', 'cult']",1,18,0.0,0.762,0.238,0.3612,51.537061,-0.442361,"116 Pole Hill Rd, Uxbridge UB10 0QE, UK",Uxbridge,"['Uxbridge', 'England', 'United Kingdom']",England
2020-01-08 14:59:35,"Cardiff, Wales",@alcampian Scotlands best chance of independence is not any #indyref2 it's to ask the other 3 nations if they want… https://t.co/TZv4hynstr,"Cardiff, Wales",United Kingdom,GB,"[-3.1798, 51.497002]",scotland best chanc independ ask nation want,"['scotlands', 'best', 'chance', 'independence', 'ask', 'nations', 'want']","['scotlands', 'best', 'chance', 'ask', 'nations', 'want']",1,21,0.0,0.476,0.524,0.6705,51.497002,-3.1798,"19 Tewkesbury St, Cardiff CF24 4QQ, UK",Cardiff,"['Cardiff', 'Wales', 'United Kingdom']",Wales
2020-01-08 15:23:24,Scotland,I’m not surprised (in the slightest) that @BorisJohnson has refused @NicolaSturgeon’s request to hold #Indyref2. Bu… https://t.co/T5yl0Ev9PD,"Glasgow, Scotland",United Kingdom,GB,"[-4.241751, 55.858303]",surpris slightest refus request hold,"['surprised', 'slightest', 'refused', 'request', 'hold']","['surprised', 'slightest', 'refused', 'request', 'hold']",0,17,0.0,1.0,0.0,0.0,55.858303,-4.241751,"Blackfriars Street, Glasgow G1 1PU, UK",Glasgow,"['Glasgow', 'Scotland', 'United Kingdom']",Scotland
2020-01-08 15:44:58,Scotland+,"@anninnis @BBCPolitics Vote NO to stay in the EU they said in 2014. Things change, time for IndyRef2","Glasgow, Scotland",United Kingdom,GB,"[-4.241751, 55.858303]",vote stay said thing chang time indyref,"['vote', 'stay', 'said', 'things', 'change', 'time', 'indyref']","['vote', 'stay', 'said', 'things', 'change', 'time']",0,18,0.0,1.0,0.0,0.0,55.858303,-4.241751,"Blackfriars Street, Glasgow G1 1PU, UK",Glasgow,"['Glasgow', 'Scotland', 'United Kingdom']",Scotland
2020-01-08 16:18:15,"Glasgow, Scotland",@CoyJudge Because that vote was done and lost so I moved on now we have Brexit which I was on the winning side of a… https://t.co/Uzgm92MVan,"Glasgow, Scotland",United Kingdom,GB,"[-4.241751, 55.858303]",vote done lost move brexit win side,"['vote', 'done', 'lost', 'moved', 'brexit', 'winning', 'side']","['vote', 'done', 'lost', 'moved', 'brexit', 'winning', 'side']",1,26,0.207,0.45,0.342,0.3612,55.858303,-4.241751,"Blackfriars Street, Glasgow G1 1PU, UK",Glasgow,"['Glasgow', 'Scotland', 'United Kingdom']",Scotland
2020-01-08 17:13:18,,"@pocket_rocket96 I’m Labour, on this I agree totally with Boris. SNP sort out all the shit they have created in Scotland. Indyref2 is dead.","Heswall, England",United Kingdom,GB,"[-3.101829, 53.335544]",labour agre total bori snp sort shit creat scotland indyref dead,"['labour', 'agree', 'totally', 'boris', 'snp', 'sort', 'shit', 'created', 'scotland', 'indyref', 'dead']","['labour', 'agree', 'totally', 'boris', 'snp', 'sort', 'shit', 'created', 'dead']",1,24,0.467,0.5329999999999999,0.0,-0.836,53.335544,-3.101829,"Briar House, Quarry Rd E, Heswall, Wirral CH61 6XD, UK",Wirral,"['Wirral', 'England', 'United Kingdom']",England
2020-01-08 17:22:41,"Dumfries, Scotland",But what confuses me is he said vote for him and elect a UK Tory Government to stop IndyRef2 and people did. Now he… https://t.co/gwgWwLvsWS,"Edinburgh, Scotland",United Kingdom,GB,"[-3.203008, 55.943196]",confus said vote elect tori govern stop indyref peopl,"['confuses', 'said', 'vote', 'elect', 'tory', 'government', 'stop', 'indyref', 'people']","['confuses', 'said', 'vote', 'elect', 'tory', 'government', 'stop', 'people']",0,25,0.21600000000000005,0.784,0.0,-0.29600000000000004,55.943196,-3.203008,"7 Brougham St, Edinburgh EH3 9JS, UK",Edinburgh,"['Edinburgh', 'Scotland', 'United Kingdom']",Scotland
2020-01-08 18:00:20,Scotland,"@STVNews He hasn't rejected it, he has just given an opinion. Rejecting it would be officially responding to the Se… https://t.co/DGWUDxNt5e","Scotland, United Kingdom",United Kingdom,GB,"[-4.200441, 57.739454]",reject given opinion reject would offici respond,"['rejected', 'given', 'opinion', 'rejecting', 'would', 'officially', 'responding']","['rejected', 'given', 'opinion', 'rejecting', 'would', 'officially', 'responding']",0,21,0.519,0.481,0.0,-0.6597,57.739454,-4.200441,"Unnamed Road, Invergordon IV18 0PF, UK",Invergordon,"['Invergordon', 'Scotland', 'United Kingdom']",Scotland
2020-01-08 18:01:01,"Lewisham, London",@JennThorburn_ @elsieortong @maliharez @SamMoore249 The Labour Party is a British party specifically; it can't advo… https://t.co/QfHXyLURhY,"Budapest, Hungary",Hungary,HU,"[19.129828, 47.48123]",labour parti british parti specif advo,"['labour', 'party', 'british', 'party', 'specifically', 'advo']","['labour', 'party', 'british', 'party', 'specifically', 'advo']",0,16,0.0,1.0,0.0,0.0,47.48123,19.129828,"Budapest, Vaspálya u. 8, 1103 Hungary",,"[None, None, 'Hungary']",
2020-01-08 18:08:16,"Lewisham, London",@JennThorburn_ @elsieortong @maliharez @SamMoore249 Any party that gets 45% of the vote in a Election will win it h… https://t.co/UFL5d8sky7,"Budapest, Hungary",Hungary,HU,"[19.129828, 47.48123]",parti get vote elect win,"['party', 'gets', 'vote', 'election', 'win']","['party', 'gets', 'vote', 'election', 'win']",1,20,0.0,0.513,0.487,0.5859,47.48123,19.129828,"Budapest, Vaspálya u. 8, 1103 Hungary",,"[None, None, 'Hungary']",
2020-01-08 18:12:07,Central Scotland,Ian Blackford puts SNP on indyref2 footing with new-look frontbench team https://t.co/ASaKadYTmm,"Causewayhead, Scotland",United Kingdom,GB,"[-3.932982, 56.13561]",ian blackford put snp indyref foot new look frontbench team,"['ian', 'blackford', 'puts', 'snp', 'indyref', 'footing', 'new', 'look', 'frontbench', 'team']","['ian', 'blackford', 'puts', 'snp', 'footing', 'new', 'look', 'frontbench', 'team']",0,12,0.0,1.0,0.0,0.0,56.13561,-3.932982,"2 Renfrew Ct, Stirling FK9 5HQ, UK",Stirling,"['Stirling', 'Scotland', 'United Kingdom']",Scotland
2020-01-08 18:38:31,,HumzaYousaf what do we think will come first? Permission for Indyref2 or the independent public enquiry into the Paedophile ring at Celtic ?,"Glasgow, Scotland",United Kingdom,GB,"[-4.241751, 55.858303]",humzayousaf think come first permiss indyref independ public enquiri paedophil ring celtic,"['humzayousaf', 'think', 'come', 'first', 'permission', 'indyref', 'independent', 'public', 'enquiry', 'paedophile', 'ring', 'celtic']","['humzayousaf', 'think', 'come', 'first', 'permission', 'independent', 'public', 'enquiry', 'paedophile', 'ring', 'celtic']",1,23,0.0,1.0,0.0,0.0,55.858303,-4.241751,"Blackfriars Street, Glasgow G1 1PU, UK",Glasgow,"['Glasgow', 'Scotland', 'United Kingdom']",Scotland
2020-01-08 19:06:13,"Cardiff, Wales",@alcampian I was having a dig at those who wish an #indyref2,"Cardiff, Wales",United Kingdom,GB,"[-3.1798, 51.497002]",dig wish,"['dig', 'wish']","['dig', 'wish']",1,12,0.0,0.27,0.73,0.4019,51.497002,-3.1798,"19 Tewkesbury St, Cardiff CF24 4QQ, UK",Cardiff,"['Cardiff', 'Wales', 'United Kingdom']",Wales
2020-01-08 19:19:10,Edinburgh North & Leith,@BizforScotland bring their fantastic materials to @YesENL #BelieveInScotland #IndyRef2 #Leith https://t.co/l0Rgv2iTw3,"Edinburgh, Scotland",United Kingdom,GB,"[-3.203008, 55.943196]",bring fantast materi,"['bring', 'fantastic', 'materials']","['bring', 'fantastic', 'materials']",0,11,0.0,1.0,0.0,0.0,55.943196,-3.203008,"7 Brougham St, Edinburgh EH3 9JS, UK",Edinburgh,"['Edinburgh', 'Scotland', 'United Kingdom']",Scotland
2020-01-08 20:14:23,World,@ScotTories @John2Win If you has any clue about what is happening in Scotland you Would understand that the best pe… https://t.co/rxqHv1gtya,"Ålesund, Norway",Norway,NO,"[6.311952, 62.464714]",clue happen scotland would understand best,"['clue', 'happening', 'scotland', 'would', 'understand', 'best']","['clue', 'happening', 'would', 'understand', 'best']",0,21,0.0,0.5429999999999999,0.457,0.6369,62.464714,6.311952,"Sjukehuslomma, Ålesund, Norway",,"[None, 'Møre og Romsdal', 'Norway']",Møre og Romsdal
2020-01-08 20:21:50,World,@Innealadair EU knows those figures will be changed within few years if they are even valid! EU knows scotland is a… https://t.co/ix0HMX0nvP,"Ålesund, Norway",Norway,NO,"[6.311952, 62.464714]",know figur chang within year even valid know scotland,"['knows', 'figures', 'changed', 'within', 'years', 'even', 'valid', 'knows', 'scotland']","['knows', 'figures', 'changed', 'within', 'years', 'even', 'valid', 'knows']",0,22,0.0,1.0,0.0,0.0,62.464714,6.311952,"Sjukehuslomma, Ålesund, Norway",,"[None, 'Møre og Romsdal', 'Norway']",Møre og Romsdal
2020-01-08 20:42:04,"Barrhead, Scotland",Our country hasn’t lost its mind. We are just along for the ride. 🙈 #indyref2 🏴󠁧󠁢󠁳󠁣󠁴󠁿 https://t.co/omURAPqE3D,"Barrhead, Scotland",United Kingdom,GB,"[-4.394863, 55.800651]",countri lost mind along ride,"['country', 'lost', 'mind', 'along', 'ride']","['country', 'lost', 'mind', 'along', 'ride']",0,17,0.365,0.635,0.0,-0.3182,55.800651,-4.394863,"51 S Park Ave, Barrhead, Glasgow G78 1QF, UK",Glasgow,"['Glasgow', 'Scotland', 'United Kingdom']",Scotland
2020-01-08 20:51:32,World,@Sillyshib Yes she was last seen on the Mustique Island counting the next GE postal votes #indyref2,"Ålesund, Norway",Norway,NO,"[6.311952, 62.464714]",ye last seen mustiqu island count next postal vote,"['yes', 'last', 'seen', 'mustique', 'island', 'counting', 'next', 'postal', 'votes']","['yes', 'last', 'seen', 'mustique', 'island', 'counting', 'next', 'postal', 'votes']",0,17,0.0,1.0,0.0,0.0,62.464714,6.311952,"Sjukehuslomma, Ålesund, Norway",,"[None, 'Møre og Romsdal', 'Norway']",Møre og Romsdal
2020-01-08 21:11:10,World,@severincarrell @DaniGaravelli1 @TheScotsman @scotonsunday @pressjournal From shit to turd in such a small time #indyref2,"Ålesund, Norway",Norway,NO,"[6.311952, 62.464714]",shit turd small time,"['shit', 'turd', 'small', 'time']","['shit', 'turd', 'small', 'time']",0,15,0.545,0.455,0.0,-0.5574,62.464714,6.311952,"Sjukehuslomma, Ålesund, Norway",,"[None, 'Møre og Romsdal', 'Norway']",Møre og Romsdal
2020-01-08 21:14:22,World,@ScotTories Go and check where the Tories are in charge #indyref2,"Ålesund, Norway",Norway,NO,"[6.311952, 62.464714]",check tori charg,"['check', 'tories', 'charge']","['check', 'tories', 'charge']",1,11,0.0,1.0,0.0,0.0,62.464714,6.311952,"Sjukehuslomma, Ålesund, Norway",,"[None, 'Møre og Romsdal', 'Norway']",Møre og Romsdal
2020-01-08 21:48:25,Inverclyde,"We’ve asked politely, Scottish democracy has been slapped in the face. The time to wait for the UK Parliament to te… https://t.co/fl3QbV9Yg3","Greenock, Scotland",United Kingdom,GB,"[-4.755876, 55.939201]",ask polit scottish democraci slap face time wait parliament,"['asked', 'politely', 'scottish', 'democracy', 'slapped', 'face', 'time', 'wait', 'parliament']","['asked', 'politely', 'democracy', 'slapped', 'face', 'time', 'wait', 'parliament']",0,22,0.0,0.833,0.16699999999999998,0.1531,55.939201,-4.755876,"20 Drumfrochar Rd, Greenock PA15 4TS, UK",Greenock,"['Greenock', 'Scotland', 'United Kingdom']",Scotland
2020-01-08 21:49:12,,"This is not being reported by the British nationalist media for obvious reasons, but it is hugely significant on th… https://t.co/TEgMcLnnJ1","Scotland, United Kingdom",United Kingdom,GB,"[-4.200441, 57.739454]",report british nationalist media obviou reason huge signific,"['reported', 'british', 'nationalist', 'media', 'obvious', 'reasons', 'hugely', 'significant']","['reported', 'british', 'nationalist', 'media', 'obvious', 'reasons', 'hugely', 'significant']",1,21,0.0,0.753,0.247,0.3182,57.739454,-4.200441,"Unnamed Road, Invergordon IV18 0PF, UK",Invergordon,"['Invergordon', 'Scotland', 'United Kingdom']",Scotland
2020-01-08 21:56:06,Glasgow,Ian Blackford puts SNP on indyref2 footing with new-look frontbench team https://t.co/EJVtsVRfXf,"Glasgow, Scotland",United Kingdom,GB,"[-4.241751, 55.858303]",ian blackford put snp indyref foot new look frontbench team,"['ian', 'blackford', 'puts', 'snp', 'indyref', 'footing', 'new', 'look', 'frontbench', 'team']","['ian', 'blackford', 'puts', 'snp', 'footing', 'new', 'look', 'frontbench', 'team']",0,12,0.0,1.0,0.0,0.0,55.858303,-4.241751,"Blackfriars Street, Glasgow G1 1PU, UK",Glasgow,"['Glasgow', 'Scotland', 'United Kingdom']",Scotland
2020-01-08 22:26:31,,On Saturday I reckon I will be returning to my accommodation with a walk along Clydeside nipping over Bell's Bridge… https://t.co/G1ifuwxwlT,"Scotland, United Kingdom",United Kingdom,GB,"[-4.200441, 57.739454]",saturday reckon return accommod walk along clydesid nip bell bridg,"['saturday', 'reckon', 'returning', 'accommodation', 'walk', 'along', 'clydeside', 'nipping', 'bell', 'bridge']","['saturday', 'reckon', 'returning', 'accommodation', 'walk', 'along', 'clydeside', 'nipping', 'bell', 'bridge']",1,21,0.0,1.0,0.0,0.0,57.739454,-4.200441,"Unnamed Road, Invergordon IV18 0PF, UK",Invergordon,"['Invergordon', 'Scotland', 'United Kingdom']",Scotland
2020-01-08 23:10:45,,@meljomur I joined @theSNP in 1968 we were thought eccentric.  On Saturday Scotland will have hundreds of thousands… https://t.co/UTshmVFjz4,"Scotland, United Kingdom",United Kingdom,GB,"[-4.200441, 57.739454]",join thought eccentr saturday scotland hundr thousand,"['joined', 'thought', 'eccentric', 'saturday', 'scotland', 'hundreds', 'thousands']","['joined', 'thought', 'eccentric', 'saturday', 'hundreds', 'thousands']",0,19,0.0,0.732,0.268,0.29600000000000004,57.739454,-4.200441,"Unnamed Road, Invergordon IV18 0PF, UK",Invergordon,"['Invergordon', 'Scotland', 'United Kingdom']",Scotland
2020-01-09 04:24:17,"Cardiff, Wales",Those who keep on about #indyref2 listen to the only SNP leader to deliver a referendum on independence more import… https://t.co/KwqC3vd9Gn,"Cardiff, Wales",United Kingdom,GB,"[-3.1798, 51.497002]",keep listen snp leader deliv referendum independ import,"['keep', 'listen', 'snp', 'leader', 'deliver', 'referendum', 'independence', 'import']","['keep', 'listen', 'snp', 'leader', 'deliver', 'referendum', 'import']",0,21,0.0,1.0,0.0,0.0,51.497002,-3.1798,"19 Tewkesbury St, Cardiff CF24 4QQ, UK",Cardiff,"['Cardiff', 'Wales', 'United Kingdom']",Wales
2020-01-09 06:49:49,"South East, England",Clive’s right. Thoroughgoing federalism between the nations of the UK would free each individual parliament to legi… https://t.co/ymADVJwFgH,"Woburn Sands, England",United Kingdom,GB,"[-0.654783, 52.017308]",clive right thoroughgo feder nation would free individu parliament legi,"['clive', 'right', 'thoroughgoing', 'federalism', 'nations', 'would', 'free', 'individual', 'parliament', 'legi']","['clive', 'right', 'thoroughgoing', 'federalism', 'nations', 'would', 'free', 'individual', 'parliament', 'legi']",0,18,0.0,0.732,0.268,0.5106,52.017308,-0.654783,"53 Drayhorse Cres, Woburn Sands, Milton Keynes MK17 8UD, UK",Milton Keynes,"['Milton Keynes', 'England', 'United Kingdom']",England
2020-01-09 08:35:19,Scotland+,"@bridgesforindy Spreading Peace, Love &amp; Scottish independence :)","Glasgow, Scotland",United Kingdom,GB,"[-4.241751, 55.858303]",spread peac love scottish independ,"['spreading', 'peace', 'love', 'scottish', 'independence']","['spreading', 'peace', 'love']",0,8,0.0,0.488,0.512,0.6369,55.858303,-4.241751,"Blackfriars Street, Glasgow G1 1PU, UK",Glasgow,"['Glasgow', 'Scotland', 'United Kingdom']",Scotland
2020-01-09 08:38:18,Aurora Borealis,"It's mildly amusing all this feux outrage on the news today.

The sooner we're back to Brexit, IndyRef2 &amp; WW3 the better!!!","Bridge of Don, Scotland",United Kingdom,GB,"[-2.108176, 57.18904]",mildli amus feux outrag news today sooner back brexit indyref ww better,"['mildly', 'amusing', 'feux', 'outrage', 'news', 'today', 'sooner', 'back', 'brexit', 'indyref', 'ww', 'better']","['mildly', 'amusing', 'feux', 'outrage', 'news', 'today', 'sooner', 'back', 'brexit', 'ww', 'better']",0,22,0.0,0.7909999999999999,0.209,0.4404,57.18904,-2.108176,"22 Collieston St, Bridge of Don, Aberdeen AB22 8WN, UK",Aberdeen,"['Aberdeen', 'Scotland', 'United Kingdom']",Scotland
2020-01-09 09:24:57,London,Democracy https://t.co/FcRFuYXk7w,"Camden Town, London",United Kingdom,GB,"[-0.159403, 51.542436]",democraci,['democracy'],['democracy'],0,2,0.0,1.0,0.0,0.0,51.542436,-0.159403,"56B King Henry's Rd, Camden Town, London NW3 3RP, UK",London,"['London', 'England', 'United Kingdom']",England
