username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink,,,,,,,,,,,
";2020-01-22 19:35;0;0;""517",276have already signed ongoing petition for IndyRef2 That's now 10% of population But keep believing the media story In any case," there's nothing to stop The Scottish Parliament holding a ""non-binding referendum"" Remember how ""non-binding"" went with the EU ref?"";;;;""1220067539792822276"";https://twitter.com/almostoneword/status/1220067539792822276",,,,,,,,,
";2020-01-22 19:33;1;1;""Do you think that the @ BBC where impartial during the 2014 Scottish Independence Referendum?"";;@;;""1220067094580035587"";https://twitter.com/STArmstrong1966/status/1220067094580035587",,,,,,,,,,,
";2020-01-22 19:31;0;1;""Would be funny if Boris said", right referendum on 1st of March," only for Scottish citizens only and if you win then you leave the rest of UK without a deal and the EU on 31st of December. I bet he EU wouldn't want to know a severed off Scotland."";;;;""1220066518291095554"";https://twitter.com/bob_basement/status/1220066518291095554",,,,,,,,,
";2020-01-22 19:23;0;0;""I still struggle to understand how a referendum without a clear cut plan (like the scottish indy ref) was even allowed to happen"," but here we are regardless and have to deal with it."";;;;""1220064342797963265"";https://twitter.com/Takru5/status/1220064342797963265",,,,,,,,,,
";2020-01-22 19:15;0;0;""Why would we want to put Scotland on hold yet again for another costly divisive referendum because some separatists can't respect the democratic vote of the Scottish people last time", there's more priorities in Scotland," you may not care about them but plenty do"";;;;""1220062532959920135"";https://twitter.com/RuggybearAl/status/1220062532959920135",,,,,,,,,
";2020-01-22 19:07;0;1;""If the Scottish government hold a consultative referendum"," it's not illegal. You seem to think we can only discuss our future with permission from England's government. You're wrong. # udi # DissolveTheUKUnion"";;;# #;""1220060543261777920"";https://twitter.com/1314AlbaGuBrath/status/1220060543261777920",,,,,,,,,,
";2020-01-22 19:04;0;0;""David Mundell", Scottish secretary - The UK government would not stand in the way of a vote if it was clearly wanted by voters. “If the people of Scotland ultimately determine they want to have another independence referendum," then there will be one.” http://www.thetimes.co.uk/article/uk-government-would-not-block-a-scots-vote-l0wsqr33s …pic.twitter.com/bPflp6Jjnw"";;;;""1220059704652681217"";https://twitter.com/RuthHen05786097/status/1220059704652681217",,,,,,,,,
";2020-01-22 19:04;0;1;""Is this perhaps the plan. Have the referendum", put the onus in the UK to incite legal action to try n prove illegality in the Scottish courts. Knockout for team Cherry. That way, we don't have to prove we have the right," before we do this ??"";;;;""1220059621609680897"";https://twitter.com/BigTam14/status/1220059621609680897",,,,,,,,
";2020-01-22 19:03;0;0;""Scottish unionist election voteshares: SP2016(constituency): 52.4% (SNP: 46.5%) GE2017: 63%(SNP: 37%) EP2019: 53.2% (SNP/Green: 46%) Do you think it’s a coincidence that unionist parties opposed to a second referendum keep getting a majority of votes in successive elections?"";;;;""1220059406144065536"";https://twitter.com/k98_john/status/1220059406144065536",,,,,,,,,,,
";2020-01-22 19:03;0;0;""At the 2019 General Election"," Scottish unionist parties explicitly opposed to an independence referendum on Sturgeon’s timetable took a clear majority of the vote at 54% whilst the SNP/Greens only got 46%. You have no mandate."";;;;""1220059315245125632"";https://twitter.com/k98_john/status/1220059315245125632",,,,,,,,,,
